title,link,authors,publication,description,Year,language,flag,what to do,,
A texture approach to leukocyte recognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:tOudhMTPpwUC,"DMU Sabino, L da Fontoura Costa, EG Rizzatti, MA Zago","Real-time imaging 10 (4), 205-216, 2004","Millions of white blood cells are manually classified in laboratories using microscopes, a painstaking and subjective task. A trained medical technician takes about 15 min to evaluate and count 100 cells for each blood slide, a time consuming and susceptible to error procedure. Leukocyte shape is usually insufficient to differentiate even among normal types since it varies widely. The current paper addresses the pattern recognition problem of blood image analysis and how textural information can improve differentiation among leukocytes. Cooccurrence probabilities can be used as a measure of gray scale image texture, a statistical method for characterizing the spatial organization of the gray-tones. We calculate five textural attributes based on gray level cooccurrence matrices (GLCM) as energy, entropy, inertia and local homogeneity, testing these features in leukocyte recognition. Several parameters must be …",2004,en,,,,
Evaluation of three algorithms for the segmentation of overlapping cervical cells,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:qUcmZB5y_30C,"Z Lu, G Carneiro, AP Bradley, D Ushizima, MS Nosrati, AGC Bianchi, ...","IEEE journal of biomedical and health informatics 21 (2), 441-450, 2016","In this paper, we introduce and evaluate the systems submitted to the first Overlapping Cervical Cytology Image Segmentation Challenge, held in conjunction with the IEEE International Symposium on Biomedical Imaging 2014. This challenge was organized to encourage the development and benchmarking of techniques capable of segmenting individual cells from overlapping cellular clumps in cervical cytology images, which is a prerequisite for the development of the next generation of computer-aided diagnosis systems for cervical cancer. In particular, these automated systems must detect and accurately segment both the nucleus and cytoplasm of each cell, even when they are clumped together and, hence, partially occluded. However, this is an unsolved problem due to the poor contrast of cytoplasm boundaries, the large variation in size and shape of cells, and the presence of debris and the large degree of …",2016,en,,,,
Xi-cam: a versatile interface for data visualization and analysis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:ns9cj8rnVeAC,"RJ Pandolfi, DB Allan, E Arenholz, L Barroso-Luque, SI Campbell, ...","Journal of synchrotron radiation 25 (4), 1261-1270, 2018","Xi-cam is an extensible platform for data management, analysis and visualization. Xi-cam aims to provide a flexible and extensible approach to synchrotron data treatment as a solution to rising demands for high-volume/high-throughput processing pipelines. The core of Xi-cam is an extensible plugin-based graphical user interface platform which provides users with an interactive interface to processing algorithms. Plugins are available for SAXS/WAXS/GISAXS/GIWAXS, tomography and NEXAFS data. With Xi-cam's `advanced' mode, data processing steps are designed as a graph-based workflow, which can be executed live, locally or remotely. Remote execution utilizes high-performance computing or de-localized resources, allowing for the effective reduction of high-throughput data. Xi-cam's plugin-based architecture targets cross-facility and cross-technique collaborative development, in support of multi-modal …",2018,en,,,,
Segmentation of subcellular compartments combining superpixel representation with voronoi diagrams,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:0EnyYjriUFMC,"DM Ushizima, AGC Bianchi, CM Carneiro","Lawrence Berkeley National Lab.(LBNL), Berkeley, CA (United States), 2015","We propose and implement a computer vision algorithm for detecting individual cells, including the ability to distinguish subcellular compartments, such as nucleus and cytoplasm. Our approach consists of three main steps:(a) cellular mass estimation, and (b) nuclei detection through superpixel representation and,(c) cytoplasm detection through nuclear narrow-band seeding, graph-based region growing and Voronoi diagrams. We test our implementation on both real and simulated cervical cell images, containing an assortment of cells and configurations that often present occlusion and/or poor contrast. Our results show both qualitative and quantitative assessment of the datasets, using a completely automated computer program. The quantitative performance presents average Dice Coefficient equals to 0.85.",2015,en,,,,
SAR imagery segmentation by statistical region growing and hierarchical merging,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:mVmsd5A6BfQC,"EA Carvalho, DM Ushizima, FNS Medeiros, CIO Martins, RCP Marques, ...","Digital Signal Processing 20 (5), 1365-1378, 2010","This paper presents an algorithm to segment synthetic aperture radar (SAR) images, corrupted by speckle noise. Most standard segmentation techniques may require speckle filtering previously. Our approach performs radar image segmentation using the original noisy pixels as input data, i.e. without any preprocessing step. The algorithm includes a statistical region growing procedure combined with hierarchical region merging. The region growing step oversegments the input radar image, thus enabling region aggregation by employing a combination of the Kolmogorov–Smirnov (KS) test with a hierarchical stepwise optimization (HSWO) algorithm for performance improvement. We have tested and assessed the proposed technique on artificially speckled image and real SAR data.",2010,en,,,,
Deep learning for cell image segmentation and ranking,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:70eg2SAEIzsC,"FHD Araújo, RRV Silva, DM Ushizima, MT Rezende, CM Carneiro, ...","Computerized Medical Imaging and Graphics 72, 13-21, 2019","Ninety years after its invention, the Pap test continues to be the most used method for the early identification of cervical precancerous lesions. In this test, the cytopathologists look for microscopic abnormalities in and around the cells, which is a time-consuming and prone to human error task. This paper introduces computational tools for cytological analysis that incorporate cell segmentation deep learning techniques. These techniques are capable of processing both free-lying and clumps of abnormal cells with a high overlapping rate from digitized images of conventional Pap smears. Our methodology employs a preprocessing step that discards images with a low probability of containing abnormal cells without prior segmentation and, therefore, performs faster when compared with the existing methods. Also, it ranks outputs based on the likelihood of the images to contain abnormal cells. We evaluate our …",2019,en,,,,
Augmented topological descriptors of pore networks for material science,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:iH-uZ7U-co4C,"D Ushizima, D Morozov, GH Weber, AGC Bianchi, JA Sethian, EW Bethel","IEEE transactions on visualization and computer graphics 18 (12), 2041-2050, 2012","One potential solution to reduce the concentration of carbon dioxide in the atmosphere is the geologic storage of captured CO 2  in underground rock formations, also known as carbon sequestration. There is ongoing research to guarantee that this process is both efficient and safe. We describe tools that provide measurements of media porosity, and permeability estimates, including visualization of pore structures. Existing standard algorithms make limited use of geometric information in calculating permeability of complex microstructures. This quantity is important for the analysis of biomineralization, a subsurface process that can affect physical properties of porous media. This paper introduces geometric and topological descriptors that enhance the estimation of material permeability. Our analysis framework includes the processing of experimental data, segmentation, and feature extraction and making novel use …",2012,en,,,,
Support vector machines applied to white blood cell recognition,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:u5HHmVD_uO8C,"DM Ushizima, AC Lorena, A De Carvalho","Fifth international conference on hybrid intelligent systems (HIS'05), 6 pp., 2005","A clinical decision support system known as Leuko has been developed for leukemia diagnosis using a naive Bayes classifier. The system is able to recognize six types of white blood cells (WBC), including a malignancy. This paper investigates the use of support vector machines (SVMs) classifiers to recognize WBC for future leukemia diagnosis. Since SVMs are originally designed for the solution of two class problems, several strategies for their extension to this multiclass task are investigated and compared. The experimental results evidence the potential of SVMs to leukemia diagnosis and indicate that a hierarchical tree-based multiclass strategy can be better suited to a future update of the Leuko system.",2005,en,,,,
Reverse image search for scientific data within and beyond the visible spectrum,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:O3NaXMp0MMsC,"FHD Araujo, RRV Silva, FNS Medeiros, DD Parkinson, A Hexemer, ...","Expert Systems with Applications 109, 35-48, 2018","The explosion in the rate, quality and diversity of image acquisition instruments has propelled the development of expert systems to organize and query image collections more efficiently. Recommendation systems that handle scientific images are rare, particularly if records lack metadata. This paper introduces new strategies to enable fast searches and image ranking from large pictorial datasets with or without labels. The main contribution is the development of pyCBIR, a deep neural network software to search scientific images by content. This tool exploits convolutional layers with locality sensitivity hashing for querying images across domains through a user-friendly interface. Our results report image searches over databases ranging from thousands to millions of samples. We test pyCBIR search capabilities using three convNets against four scientific datasets, including samples from cell microscopy …",2018,en,,,,
Wavelet analysis for wind fields estimation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=AEm0StsAAAAJ&pagesize=100&citation_for_view=AEm0StsAAAAJ:IWHjjKOFINEC,"GC Leite, DM Ushizima, FNS Medeiros, GG De Lima","Sensors 10 (6), 5994-6016, 2010","Wind field analysis from synthetic aperture radar images allows the estimation of wind direction and speed based on image descriptors. In this paper, we propose a framework to automate wind direction retrieval based on wavelet decomposition associated with spectral processing. We extend existing undecimated wavelet transform approaches, by including à trous with B3 spline scaling function, in addition to other wavelet bases as Gabor and Mexican-hat. The purpose is to extract more reliable directional information, when wind speed values range from 5 to 10 ms−1. Using C-band empirical models, associated with the estimated directional information, we calculate local wind speed values and compare our results with QuikSCAT scatterometer data. The proposed approach has potential application in the evaluation of oil spills and wind farms.",2010,en,,,,
